timestamp,label,score,confidence,score_mvrv_ratio,raw_mvrv_ratio
2025-09-16,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1889
2025-09-17,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1818
2025-09-18,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1884
2025-09-19,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1585
2025-09-20,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1601
2025-09-21,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1512
2025-09-22,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1031
2025-09-23,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0884
2025-09-24,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1098
2025-09-25,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0312
2025-09-26,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0393
2025-09-27,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0384
2025-09-28,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0844
2025-09-29,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1227
2025-09-30,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1128
2025-10-01,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.1862
2025-10-02,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2218
2025-10-03,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2492
2025-10-04,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2476
2025-10-05,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2668
2025-10-06,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2871
2025-10-07,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2193
2025-10-08,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2486
2025-10-09,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.2126
2025-10-10,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0706
2025-10-11,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0195
2025-10-12,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0951
2025-10-13,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0975
2025-10-14,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0568
2025-10-15,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0059
2025-10-16,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9579
2025-10-17,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9293
2025-10-18,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9381
2025-10-19,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9659
2025-10-20,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0002
2025-10-21,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9643
2025-10-22,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9423
2025-10-23,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9839
2025-10-24,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0002
2025-10-25,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0101
2025-10-26,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0611
2025-10-27,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.0506
2025-10-28,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,2.027
2025-10-29,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9749
2025-10-30,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9325
2025-10-31,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9596
2025-11-01,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9663
2025-11-02,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9728
2025-11-03,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.9021
2025-11-04,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8117
2025-11-05,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8571
2025-11-06,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8097
2025-11-07,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8428
2025-11-08,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8228
2025-11-09,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8642
2025-11-10,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8875
2025-11-11,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8319
2025-11-12,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.8085
2025-11-13,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.78
2025-11-14,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6843
2025-11-15,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.7025
2025-11-16,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6786
2025-11-17,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6393
2025-11-18,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6545
2025-11-19,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6287
2025-11-20,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5516
2025-11-21,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5202
2025-11-22,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5063
2025-11-23,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5408
2025-11-24,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5674
2025-11-25,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5507
2025-11-26,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6019
2025-11-27,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.618
2025-11-28,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6124
2025-11-29,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6098
2025-11-30,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6059
2025-12-01,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.534
2025-12-02,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6234
2025-12-03,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6594
2025-12-04,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6347
2025-12-05,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5846
2025-12-06,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5826
2025-12-07,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5985
2025-12-08,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6096
2025-12-09,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.647
2025-12-10,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6326
2025-12-11,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6416
2025-12-12,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.602
2025-12-13,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6004
2025-12-14,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5626
2025-12-15,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5335
2025-12-16,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5583
2025-12-17,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5291
2025-12-18,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5184
2025-12-19,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5669
2025-12-20,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5699
